id,title,author_info,rating,pros,cons,Categories
412,Targets from day 1 till u leave amazon,"Jun 7, 2022 - Cse2 in Hyderābād",2,Good salary and medical benifits,No work life balance. Targets will be set for every week and month Ur manager will chase you if you dont meet the targets Finally u know what happens,Technology
413,Sr investigator,"Jun 7, 2022 - Senior Investigation Specialist in Bangalore",3,"work culture, compensation, paid time offs",delayed promotion low support from leaders not employee centric,Culture
414,Amazon,"May 23, 2022 - Human Resources Associate in Bangalore",5,Best company in the world,nothing is needed everything is perfect,Culture
415,Customer Support Operations,"May 23, 2022 - Team Manager in Hyderābād",5,"Best workplace. Great Leadership team. Work Hard, Have fun, and Make History","Flexible Shifts, blackout holidays, no time to celebrate festivals with family",Culture
416,good company,"May 23, 2022 - Data Associate in New Delhi",5,good company with good worklifebalance,good company but growth is not that much,Culture
417,Great company,"May 23, 2022 - Account Manager in Hyderābād",5,Great work culture and benefits,"After work from home, spending most of the time at work",Culture
418,good working culture,"May 23, 2022 - Associate in Chennai",5,high Salary compare with other companies and normal work tension,you cant get leave at festivel days. you need to work for 365 days without leave,Culture
419,Good Environment but less work life balance,"Jun 6, 2022 - Process Associate in Bangalore",4,We have a pretty good working environment. Everyone was quite supportive. Managers are very understanding.,Sometimes due to work load there is an excess and we had to work during weekends.,Technology
420,Transaction Risk Investigator,"Jun 6, 2022 - Anonymous Employee in Bangalore",4,Definitely a great place to work,Depends on the role we work,Technology
421,Good,"Jun 5, 2022 - Senior FinOps Analyst in Hyderābād",4,Everything is going good so far.,No cons I have seen yet,Management
422,Stress free Environment,"Jun 5, 2022 - D2AS - Customer Service in Hyderābād",4,Management and the organisation are top notch. Work environment is so cool and stress free.,Comparatively low wages for the position.,Management
423,Amazon Review,"May 18, 2022 - Amazon Software Development Engineer in Hyderābād",5,It helped me grow as a person,I don't have any cons related to Amazon,Technology
424,Benefits,"May 21, 2022 - Customer Service Associate in Hyderābād",5,"Flexible shift timings, employee benefits, hike in every 6 months, supportive management",Gets monotonous sometimes. Less interaction activities,Human_Resources
425,Nothing,"May 21, 2022 - Catalog Associate in Bangalore",5,"Positive Work culture,Benefits for employee is good.","Growth,Salary of Non-Technical Job is less.",Culture
426,Amazon,"May 21, 2022 - Transaction Risk Investigator (TRMS) in Bangalore",5,"Working as a Buyer Risk Investigator TRMS was a wonderful experience. No one knows how the order is being processed once it is placed until we start working in the department. I was delighted to be given the opportunity to work and dive deep into customers' orders, investigating fraudulent activities and informing consumers about these activities, and requesting that they take the necessary precautions to avoid being victims of such actions. Also developed new skills by learning a few fraudulent patterns, spoofing, and phishing cases. This helped me become a better person in my professional life.","I was just concerned about night shifts. Aside from that, it was a fantastic opportunity.",Technology
427,Great place for freshers,"May 21, 2022 - Data Associate in Chennai",5,Meals work life balance strict 9 hour work policy,Salary is a bit low,Technology
428,Good company 👍,"May 21, 2022 - Technical Account Manager (TAM) in New Delhi",5,Good salary when you join,Work pressure and work life harmony is disturbed.,Culture
429,Worst Politics Causing Severe Employee Attrition ( 8 people per week),"Jun 1, 2022 - Senior Associate - Compliance Operations in Pune",4,1) Best Workplace policies 2) Supportive Leadership 3) Best Leave policies 4) Best Environment,1) Improper mapping of Undergraduates vs Experienced Employees with MBA at same level in workforce 2) No career development and opportunity to enhance Technical skills 3) Highly Unprofessional and communication gap in Internal Job Transfers 4) Interview timeline takes ages both externally & internally,Culture
430,Chh hai,"Jun 3, 2022 - Software Development Engineer (SDE1) in Bangalore",3,Good project to work on,Work life balance is bad,Technology
431,Salary of Cloud support Engineer,"May 20, 2022 - Cloud Support Engineer in Bangalore",5,Best environment of Amazon Bengaluru,Hectic work schedule and reliable,Technology
432,Good,"May 20, 2022 - Software Engineer SE3 in Hyderābād",5,Amazon is a good company to work,Work life balance is tough,Culture
433,Work and personal life doesn’t mix up,"May 20, 2022 - Transaction Risk Investigator (TRMS) in Bangalore",5,Best work culture and relaxed job,Time bound work to be completed.,Culture
434,Senior Catalog Associate,"May 20, 2022 - Senior Catalog Associate in Chennai",5,"Senior Catalog Associate role helps in better understanding of the Business and Operations, helps in Upskilling Tech Skills since Org is moving into BTO model.","Except for some Workloads based on Volumes, everything is good.",Management
435,Best in Industry,"May 20, 2022 - Quality Assurance Technician in Bangalore",5,#NAME?,#NAME?,Culture
436,"Salary is good, but working hours are very bad","Jun 3, 2022 - Software Engineer II SDE2 in Bangalore",4,"Salary is good, workspace is very nice.","Working hours are very bad, mainly when you are working with an international team.",Management
437,Work Atmosphere,"Jun 3, 2022 - Quality Service Associate in Chennai",4,Employee Friendly benefits Good work life balance,No growth Favouritism of people for career growth,Human_Resources
438,Very good,"Jun 3, 2022 - Software Development Engineer (SDE) Intern in Purba Champaran",4,Good salary a n d experience,Nothing is b a d,Culture
439,Waste of potential,"Jun 3, 2022 - Customer Service Associate in Indore",3,"Brand value, Higher salary than others in the market for same role",Crazy work pressure Zero growth vertically Skill development is saturated early then it's all repetitive,Technology
440,Nice,"Jun 3, 2022 - Automation Analyst in Bangalore",3,Great place to work. Balanced,Internal politics is common for such big org,Management
441,good company,"Jun 3, 2022 - Quality Specialist in Hyderābād",3,Best in the industry pay scale. Allowances like sodexo meal card. Top notch offices space.,Not a good management team. rotational shifts .,Management
442,good,"May 19, 2022 - Technician in Mumbai",5,excellent management freedom to work,EVERYTHING IS PERFECT NO CONS,Management
443,Incident Management,"May 19, 2022 - Incident Manager in Bangalore",5,One of the best team to work,No Cons observed till now,Management
444,Customer support,"May 19, 2022 - CSA in Hyderābād",5,Growth and development and can embrace many chances to develop skills,Peak time will little bother you,Technology
445,Great place to work,"May 19, 2022 - SDS Associate in Calcutta",5,great place to work with,"Low salary, increment is too slow",Culture
446,Good,"Jun 2, 2022 - ML Data Associate in New Delhi",4,Good nd happy Work life balance,Less salary bad sleep routine,Management
447,Review,"Jun 2, 2022 - Quality Specialist in Hyderābād",4,I really like the work culture.,One of my managers had no managerial skills but was promoted to manager.,Technology
448,Quality service,"Jun 2, 2022 - Associate in Chennai",4,Stress free job to work & friendly colleague,Team shifting without proper info,Technology
449,Sr associate,"Jun 2, 2022 - Senior Associate in Hyderābād",3,Employee friendly company to work,Bad timings night shifts to work,Culture
450,Top talent with added pressure,"Jun 2, 2022 - Technical Program Manager in Chennai",3,Great talent to work with Good salary and benefits,Always felt like under pressure bureucracy,Technology
451,Best place to work!,"May 18, 2022 - Amazon Seller Support Associate in Chennai",5,You get your pay on time Management is quite understanding Fixed 2 days weekoff Yearly bonus! You get right recognition for your work,Rotational shifts Have to deal directly with the sellers,Management
452,Good,"May 18, 2022 - Quality Associate in Chennai",5,Good work life balance and work culture,Shifting one project to another is tough,Technology
453,Great,"May 18, 2022 - Associate Engineer in Noida",5,Great experience during the calls,I don’t think any cons,Culture
454,International customer service,"May 18, 2022 - Customer Service Associate in Hyderābād",5,Salary and overtime benefits and much more,Every thing is good and perfect,Technology
